"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";
823618;1907;"Westlake KinderCare";"30850 Viking Pkwy";"Westlake";"OH";44145;
823619;4410;"Rahn Road KinderCare";"951 East Rahn Rd.";"Dayton";"OH";45429;
823620;339971;"Lewis Center KinderCare";"96 Neverland Dr.";"Lewis Center";"OH";43035;
823621;2870;"Cherry Way KinderCare";"1341 Cherry Way Dr.";"Columbus";"OH";43230;8002077019
823622;4940;"Green KinderCare";"3405 Massillon Rd.";"Akron";"OH";44312;
823623;4979;"Barberton KinderCare";"111 5th St. SE";"Barberton";"OH";44203;
823624;1704;"Beachwood KinderCare";"24753 Chagrin Blvd";"Beachwood";"OH";44122;
823624;340211;"Beachwood KinderCare";"24753 Chagrin Blvd.";"Beachwood";"OH";44122;
823625;340401;"Delhi KinderCare";"921 Anderson Ferry Rd.";"Cincinnati";"OH";45238;
823626;340311;"Beechmont KinderCare";"7775 Five Mile Rd.";"Cincinnati";"OH";45230;
823627;340691;"Tamarack KinderCare";"1955 Tamarack Circle North";"Columbus";"OH";43229;
823629;340511;"Kimberly Parkway KinderCare";"4235 Kimberly Pkwy North";"Columbus";"OH";43232;
823630;340661;"Sawmill Road KinderCare";"4895 Sawmill Rd.";"Columbus";"OH";43235;
823631;340411;"Dublin Granville KinderCare";"2960 E Dublin Granville Rd.";"Columbus";"OH";43231;
823632;340041;"Yearling Road KinderCare";"173 S Yearling Rd.";"Columbus";"OH";43213;
823633;340741;"West Broad KinderCare";"5381 West Broad St.";"Columbus";"OH";43228;
823634;4994;"Cuyahoga Falls KinderCare";"3100 State Rd.";"Cuyahoga Falls";"OH";44223;
823635;4411;"Bufort Blvd KinderCare";"4700 Bufort Blvd.";"Dayton";"OH";45424;
823637;340701;"Tuttle Crossing KinderCare";"4960 Parkcenter Ave.";"Dublin";"OH";43017;
823638;340491;"Gahanna KinderCare";"520 Morrison Rd.";"Columbus";"OH";43230;8002077019
823639;2871;"North Stygler KinderCare";"139 North Stygler Rd.";"Columbus";"OH";43230;8002077019
