"id";"provider_id";"date";"type"
1563;2236;"08-12-2019";"Annual"
369;1947;"05-10-2018";"Monitoring"
784;1947;"10-15-2018";"Annual"
1165;1947;"03-22-2019";"Monitoring"
1741;1947;"10-04-2019";"Annual"
144;2073;"11-09-2017";"Renewal"
653;2073;"09-06-2018";"Monitoring"
1284;2073;"05-07-2019";"Monitoring"
1709;2073;"09-24-2019";"Annual"
616;1778;"05-17-2018";"Monitoring"
802;1778;"10-24-2018";"Annual"
1372;1778;"05-29-2019";"Monitoring"
1835;1778;"11-27-2019";"Annual"
91;2715;"04-23-2019";"Initial"
1577;2715;"08-14-2019";"Monitoring"
2081;2715;"03-12-2020";"Annual"
106;2184;"10-03-2017";"Renewal"
752;2184;"08-20-2018";"Monitoring"
828;2184;"11-01-2018";"Annual"
1418;2184;"05-29-2019";"Monitoring"
1751;2184;"10-10-2019";"Annual"
535;1783;"08-07-2018";"Monitoring"
1032;1783;"01-04-2019";"Annual"
1484;1783;"07-16-2019";"Monitoring"
474;1876;"05-04-2018";"Annual"
824;1876;"10-30-2018";"Monitoring"
1377;1876;"05-30-2019";"Annual"
1995;1876;"02-13-2020";"Renewal"
179;2033;"10-26-2017";"Renewal"
757;2033;"09-17-2018";"Monitoring"
894;2033;"11-05-2018";"Annual"
1434;2033;"06-17-2019";"Monitoring"
1851;2033;"12-10-2019";"Annual"
201;1910;"11-07-2017";"Renewal"
758;1910;"09-06-2018";"Monitoring"
962;1910;"12-17-2018";"Annual"
1462;1910;"07-05-2019";"Monitoring"
1885;1910;"12-30-2019";"Annual"
97;2002;"09-08-2017";"Renewal"
510;2002;"05-25-2018";"Monitoring"
921;2002;"11-02-2018";"Annual"
1420;2002;"06-06-2019";"Monitoring"
1859;2002;"12-13-2019";"Annual"
368;2564;"04-30-2018";"Monitoring"
418;2564;"06-12-2018";"Annual"
1114;2564;"03-18-2019";"Monitoring"
1260;2564;"04-30-2019";"Annual"
1846;2564;"12-04-2019";"Monitoring"
286;1971;"03-20-2018";"Monitoring"
648;1971;"09-18-2018";"Annual"
1226;1971;"04-25-2019";"Monitoring"
1640;1971;"09-10-2019";"Annual"
2012;1971;"02-21-2020";"Monitoring"
126;2751;"09-20-2019";"Initial"
218;1823;"01-09-2018";"Annual"
428;1823;"07-09-2018";"Monitoring"
920;1823;"01-07-2019";"Annual"
1401;1823;"06-06-2019";"Monitoring"
1963;1823;"02-03-2020";"Renewal"
485;2556;"06-06-2018";"Monitoring"
863;2556;"11-29-2018";"Annual"
1151;2556;"03-13-2019";"Monitoring"
1929;2556;"01-24-2020";"Annual"
318;2031;"03-16-2018";"Annual"
765;2031;"10-09-2018";"Monitoring"
1030;2031;"02-28-2019";"Annual"
1815;2031;"11-08-2019";"Monitoring"
1973;2031;"01-24-2020";"Renewal"
19;2640;"02-02-2018";"Initial"
1006;2640;"02-22-2019";"Monitoring"
1237;2640;"04-26-2019";"Annual"
1786;2640;"11-01-2019";"Monitoring"
68;2662;"05-07-2018";"Initial"
1334;2662;"05-15-2019";"Monitoring"
1688;2662;"09-17-2019";"Annual"
367;2074;"03-19-2018";"Annual"
759;2074;"09-13-2018";"Monitoring"
1005;2074;"02-21-2019";"Annual"
1606;2074;"08-29-2019";"Monitoring"
2018;2074;"02-13-2020";"Renewal"
839;1818;"11-08-2018";"Annual"
1288;1818;"05-07-2019";"Monitoring"
1825;1818;"11-22-2019";"Annual"
801;2568;"10-24-2018";"Monitoring"
1008;2568;"02-25-2019";"Annual"
1910;2568;"01-17-2020";"Monitoring"
362;2131;"05-09-2018";"Monitoring"
589;2131;"08-30-2018";"Annual"
1095;2131;"03-18-2019";"Monitoring"
1560;2131;"08-09-2019";"Annual"
308;2399;"01-25-2017";"Renewal"
848;2399;"10-15-2018";"Monitoring"
1192;2399;"04-04-2019";"Annual"
1755;2399;"10-08-2019";"Monitoring"
2105;2399;"07-30-2020";"Annual"
101;1920;"11-16-2017";"Renewal"
1216;1920;"07-03-2018";"Monitoring"
871;1920;"12-03-2018";"Annual"
1490;1920;"07-18-2019";"Monitoring"
1888;1920;"01-08-2020";"Annual"
210;2385;"01-17-2018";"Renewal"
596;2385;"08-13-2018";"Monitoring"
989;2385;"01-18-2019";"Annual"
1269;2385;"04-12-2019";"Monitoring"
1922;2385;"01-02-2020";"Annual"
509;1747;"05-03-2018";"Monitoring"
686;1747;"09-18-2018";"Annual"
1152;1747;"04-02-2019";"Monitoring"
1698;1747;"09-19-2019";"Annual"
1895;1747;"01-13-2020";"Monitoring"
53;1727;"10-02-2017";"Renewal"
407;1727;"06-20-2018";"Monitoring"
841;1727;"11-09-2018";"Annual"
1219;1727;"04-23-2019";"Monitoring"
1777;1727;"10-29-2019";"Annual"
2014;1727;"02-21-2020";"Monitoring"
647;1880;"09-06-2018";"Annual"
1196;1880;"04-12-2019";"Monitoring"
1712;1880;"09-24-2019";"Annual"
79;2569;"10-27-2017";"Annual"
565;2569;"04-17-2018";"Monitoring"
929;2569;"11-30-2018";"Annual"
1330;2569;"05-10-2019";"Monitoring"
1733;2569;"10-01-2019";"Annual"
366;2060;"05-11-2018";"Annual"
1348;2060;"05-20-2019";"Annual"
1719;2060;"09-26-2019";"Monitoring"
1967;2060;"02-03-2020";"Monitoring"
524;2061;"05-15-2018";"Annual"
1365;2061;"05-23-2019";"Annual"
1720;2061;"09-26-2019";"Monitoring"
1970;2061;"02-03-2020";"Monitoring"
528;1822;"05-14-2018";"Annual"
1072;1822;"03-11-2019";"Monitoring"
1342;1822;"05-16-2019";"Annual"
1917;1822;"01-22-2020";"Monitoring"
372;2266;"05-08-2018";"Monitoring"
661;2266;"08-29-2018";"Annual"
1308;2266;"05-10-2019";"Monitoring"
1564;2266;"08-12-2019";"Annual"
123;1789;"10-03-2017";"Renewal"
883;1789;"12-06-2018";"Annual"
1515;1789;"07-26-2019";"Monitoring"
1871;1789;"12-20-2019";"Annual"
618;2152;"08-10-2018";"Annual"
1069;2152;"03-08-2019";"Monitoring"
1514;2152;"07-26-2019";"Annual"
1996;2152;"02-13-2020";"Monitoring"
560;2528;"07-06-2018";"Monitoring"
805;2528;"08-23-2018";"Annual"
1326;2528;"05-15-2019";"Monitoring"
1675;2528;"08-14-2019";"Annual"
183;1826;"12-31-2017";"Renewal"
851;1826;"11-20-2018";"Annual"
1289;1826;"05-08-2019";"Monitoring"
1818;1826;"11-19-2020";"Annual"
182;1770;"11-29-2017";"Renewal"
604;1770;"09-07-2018";"Monitoring"
1132;1770;"03-27-2019";"Annual"
1625;1770;"09-06-2019";"Monitoring"
371;1993;"05-04-2018";"Monitoring"
467;1993;"07-26-2018";"Annual"
1329;1993;"05-15-2019";"Monitoring"
1522;1993;"07-29-2019";"Annual"
156;2588;"10-24-2017";"Renewal"
374;2588;"05-14-2018";"Monitoring"
870;2588;"12-03-2018";"Annual"
1325;2588;"05-15-2019";"Monitoring"
1804;2588;"11-14-2019";"Annual"
110;2735;"07-25-2019";"Initial"
1934;2735;"01-21-2020";"Monitoring"
75;2697;"12-26-2018";"Initial"
1231;2697;"04-26-2019";"Monitoring"
1881;2697;"01-03-2020";"Annual"
399;1853;"05-15-2018";"Renewal"
762;1853;"10-05-2018";"Monitoring"
1147;1853;"04-01-2019";"Annual"
257;1756;"02-26-2018";"Renewal"
792;1756;"10-18-2018";"Monitoring"
1112;1756;"03-13-2019";"Annual"
457;2611;"07-12-2018";"Monitoring"
1023;2611;"02-27-2019";"Annual"
1571;2611;"08-14-2019";"Monitoring"
335;2067;"04-24-2018";"Monitoring"
832;2067;"11-05-2018";"Annual"
1513;2067;"07-25-2019";"Monitoring"
1781;2067;"10-30-2019";"Annual"
45;2669;"06-25-2018";"Initial"
1033;2669;"03-01-2019";"Monitoring"
106;2728;"07-02-2019";"Initial"
540;2593;"03-14-2018";"Annual"
541;2593;"08-09-2018";"Monitoring"
1003;2593;"02-22-2019";"Annual"
1535;2593;"08-01-2019";"Monitoring"
2003;2593;"02-18-2020";"Renewal"
781;2113;"10-12-2018";"Annual"
1304;2113;"05-09-2019";"Monitoring"
1826;2113;"11-22-2019";"Annual"
316;2600;"02-26-2018";"Annual"
930;2600;"10-24-2018";"Monitoring"
983;2600;"02-07-2019";"Annual"
1579;2600;"08-19-2019";"Monitoring"
1939;2600;"01-28-2020";"Renewal"
307;2603;"03-12-2018";"Renewal"
846;2603;"10-29-2018";"Monitoring"
1179;2603;"04-08-2019";"Annual"
208;2522;"11-30-2017";"Renewal"
364;2522;"05-11-2018";"Monitoring"
1040;2522;"03-05-2019";"Annual"
1498;2522;"07-22-2019";"Monitoring"
475;1901;"06-08-2018";"Annual"
684;1901;"09-24-2018";"Monitoring"
1251;1901;"04-30-2019";"Annual"
1559;1901;"08-09-2019";"Monitoring"
72;2683;"11-15-2018";"Initial"
1246;2683;"04-25-2019";"Monitoring"
1754;2683;"10-15-2019";"Annual"
495;1862;"07-02-2018";"Annual"
982;1862;"02-04-2019";"Monitoring"
1313;1862;"05-02-2019";"Annual"
496;1935;"07-02-2018";"Annual"
984;1935;"02-04-2019";"Monitoring"
1262;1935;"04-30-2019";"Annual"
551;2153;"08-17-2018";"Annual"
1444;2153;"06-25-2019";"Monitoring"
1556;2153;"08-08-2019";"Annual"
2071;2153;"03-10-2020";"Monitoring"
51;1807;"10-19-2017";"Renewal"
650;1807;"09-17-2018";"Monitoring"
