"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"https://childcarecenter.us/provider_detail/celebrations_child_care_ministry_new_palestine_in";"Celebrations Child Care Ministry | New Palestine IN";"http://www.celebrationschildcare.com/site/";"http://www.celebrationschildcare.com/site/#/home/";"http://celebrationschildcare.com";;
"https://childcarecenter.us/provider_detail/montessori_academy_of_chambersburg_chambersburg_pa";"Montessori Academy Of Chambersburg | CHAMBERSBURG PA Child Care Center";"http://www.montacad.org/ContactForm.aspx";"online form";"http://chambersburgmontessori.org/";;
"https://childcarecenter.us/provider_detail/champs_enrichment_llc_austin_tx";"Champs Enrichment Llc | AUSTIN TX";"http://www.championswestlake.com/programs";"www.championswestlake.com/programs";"http://championswestlake.com/";;
"https://childcarecenter.us/provider_detail/champs_brickell_llc_miami_fl";"CHAMPS Brickell, LLC | Miami FL Child Care Facility";"http://www.champs-edu.com/brickell.html";"http://www.champs-edu.com/brickell.html";"http://champs-edu.com/";;
"https://childcarecenter.us/provider_detail/chico_community_childrens_center_eaton_rd_chico_ca";"Chico Community Children's Center - Eaton Rd. | CHICO CA";"http://www.chicochild.org/index.php?topic=EatonCenter";"http://www.chicochild.org/index.php?topic=EatonCenter";"http://chicochild.org/community/";;
"https://childcarecenter.us/provider_detail/christ_the_king_child_care_jacksonville_fl";"Christ the King Child Care | Jacksonville FL Child Care Facility";"http://www.ctkcatholic.com/Childcare_Home.ihtml?id=647471";"http://www.ctkcatholic.com/Childcare_Home.ihtml?id=647471";"http://childcare.ctkcatholic.com";;
"http://childcarecenter.us/provider_detail/57220_crestwood_child_care_and_learning_center_crestwood_ky";"Crestwood Child Care & Learning Center | Crestwood KY Child Care Center - Licensed Type I";"http://www.crestwoodchildcare.com/";"http://www.crestwoodchildcare.com/";"http://childcarecrestwood.com/home/3102006";;
"https://childcarecenter.us/provider_detail/57220_crestwood_child_care_and_learning_center_crestwood_ky";"Crestwood Child Care & Learning Center | Crestwood KY";"http://www.crestwoodchildcare.com/";"http://www.crestwoodchildcare.com/";"http://childcarecrestwood.com/home/3102006";;
"https://childcarecenter.us/provider_detail/cinco_baptist_school_ft_walton_beach_fl";"Cinco Baptist School | FORT WALTON BEACH FL";"http://www.cincobaptist.org/245321.ihtml";"http://www.cincobaptist.org/245321.ihtml";"http://cincobaptist.org/get-connected/children/preschool-choir";;
"https://childcarecenter.us/provider_detail/charlie_keyan_armenian_community_school_clovis_ca";"Charlie Keyan Armenian Community School | CLOVIS CA DAY CARE CENTER";"http://www.ckacs.org/content";"http://www.ckacs.org/content";"http://ckacs.org/extended-day-care-program/";;
