"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"correct link"
"http://childcarecenter.us/provider_detail/abc_keith_haring_school_new_york_ny";"ABC KEITH HARING SCHOOL | NEW YORK NY Head Start (Direct Fed. Funding)";"http://www.a-b-c.org/contact.htm";"http://www.a-b-c.org/contact.htm";"http://www.a-b-c.org/contact"
"http://childcarecenter.us/provider_detail/abiding_love_preschool_and_childcare_cape_coral_fl";"Abiding Love Preschool and Childcare | Cape Coral FL Child Care Facility";"http://abiding-love.com/preschool.asp";"http://abiding-love.com/preschool.asp";"http://abiding-love.com/preschool/"
"http://childcarecenter.us/provider_detail/academy_for_little_children_cumb_cumberland_ri";"Academy For Little Children-Cumb. | Cumberland RI Child Care Center";"http://www.a4lc.net/index.html";"http://academyforlittlechildren.com/index.html";"http://www.a4lc.net/cumberland/"
"http://childcarecenter.us/provider_detail/acpc_meeker_ames_ia";"ACPC-Meeker | AMES IA Licensed Center";"http://www.acpc-childcare.org/aboutus.cfm";"http://www.acpc-childcare.org/aboutus.cfm";"http://www.acpc-childcare.org/content/locations"
"http://childcarecenter.us/provider_detail/acpc_mitchell_ames_ia";"ACPC-Mitchell | AMES IA Licensed Center";"http://www.acpc-childcare.org/aboutus.cfm";"http://www.acpc-childcare.org/aboutus.cfm";"http://www.acpc-childcare.org/content/locations"
"http://childcarecenter.us/provider_detail/adventure_christian_learning_center_tavares_fl";"Adventure Christian Learning Center | Tavares FL Nonpublic School Exempt";"http://adventurechristianlc.com/";"http://adventurechristianlc.com/";"http://adventurechristian.com/home"
"http://childcarecenter.us/provider_detail/adventure_school_2_tucson_az";"ADVENTURE SCHOOL 2 | TUCSON AZ CHILD CARE CENTER";"http://www.academyadventures.com/aaweb/school/pages/generalContentPage.asp?pageID=19";"http://www.academyadventures.com/aaweb/school/pages/generalContentPage.asp?pageID=19";"http://academyadventures.com/wordpress/index.php/locations/adventure-school-preschool/"
"http://childcarecenter.us/provider_detail/adventure_school_tucson_az";"ADVENTURE SCHOOL | TUCSON AZ CHILD CARE CENTER";"http://www.academyadventures.com/aaweb/school/pages/generalContentPage.asp?pageID=19";"http://www.academyadventures.com/aaweb/school/pages/generalContentPage.asp?pageID=19";"http://academyadventures.com/wordpress/index.php/locations/adventure-school-preschool/"
"http://childcarecenter.us/provider_detail/albany_jcc_montessori_magnet_school_albany_ny";"Albany JCC @ Montessori Magnet School | Albany NY School-Age Child Care";"http://www.albanyjcc.org/contact.cfm";"http://www.saajcc.org/contact.cfm";"http://www.albanyjcc.org/index.php"
"http://childcarecenter.us/provider_detail/all_about_kids_early_learning_center_harrisburg_pa";"ALL ABOUT KIDS EARLY LEARNING CENTER | HARRISBURG PA Child Care Center";"http://allaboutkidschildcarecenter.com/index.htm";"http://allaboutkidschildcarecenter.com/index.htm";"http://allaboutkidschildcarecenter.com"
