"ID";"Start";"End";"Disciplinary/Non-Disciplinary Action"
404439;"10/17/2007";"04/17/2008";"Probation"
404439;"10/17/2007";"10/24/2007";"Civil Penalty"
661220;"06/25/2013";"06/25/2014";"Probation"
839031;"12/04/2018";"12/04/2019";"Probation"
820885;"08/10/2017";"02/10/2018";"Nondisciplinary Corrective Action"
647719;"03/08/2016";"04/07/2016";"Civil Penalty"
406836;"06/22/2016";"06/22/2017";"Probation"
406836;"06/22/2016";"07/22/2016";"Civil Penalty"
406673;"03/26/2015";"04/26/2015";"Civil Penalty"
406673;"05/11/2008";"11/11/2008";"Nondisciplinary Corrective Action"
595690;"05/29/2015";"11/29/2015";"Nondisciplinary Corrective Action"
595690;"05/29/2012";"11/20/2012";"Nondisciplinary Corrective Action"
605103;"02/02/2018";"03/05/2018";"Civil Penalty"
605103;"07/15/2015";"07/15/2016";"Probation"
605103;"07/15/2015";"08/15/2015";"Civil Penalty"
767880;"10/09/2015";"10/09/2016";"Probation"
407027;"12/28/2016";"06/28/2017";"Nondisciplinary Corrective Action"
406705;"10/26/2011";"04/26/2012";"-Licensing Agreement"
406862;"11/03/2016";"05/03/2017";"-Licensing Agreement"
469354;"06/11/2018";"12/11/2018";"-Licensing Agreement"
469354;"04/03/2018";"09/13/2018";"Civil Penalty"
469354;"12/03/2009";"06/03/2010";"-Licensing Agreement"
406873;"07/09/2008";"01/09/2009";"-Licensing Agreement"
406873;"05/01/2006";"11/01/2006";"-Licensing Agreement"
406873;"11/04/2005";"05/04/2006";"-Licensing Agreement"
406908;"10/20/2017";"04/20/2018";"Nondisciplinary Corrective Action"
406908;"05/16/2007";"11/25/2007";"Civil Penalty"
406908;"07/24/2006";"07/24/2007";"Probation"
406908;"01/03/2006";"07/03/2006";"Nondisciplinary Corrective Action"
406908;"06/15/2005";"12/15/2005";"Probation"
406908;"06/23/2005";"07/23/2005";"Civil Penalty"
436075;"03/28/2017";"09/28/2017";"Nondisciplinary Corrective Action"
436075;"07/28/2011";"01/28/2012";"Nondisciplinary Corrective Action"
862913;"01/15/2019";"07/15/2019";"Nondisciplinary Corrective Action"
759127;"09/11/2017";"03/11/2018";"Nondisciplinary Corrective Action"
430886;"11/01/2010";"11/01/2011";"Probation"
430886;"03/25/2011";"05/11/2011";"Civil Penalty"
407014;"05/09/2006";"11/09/2006";"Nondisciplinary Corrective Action"
630239;"03/29/2018";"09/29/2018";"Nondisciplinary Corrective Action"
630239;"04/22/2015";"10/22/2015";"Nondisciplinary Corrective Action"
638736;"09/11/2018";"03/11/2019";"-Licensing Agreement"
808549;"12/05/2018";"12/05/2019";"Probation"
808549;"09/05/2018";"03/05/2019";"-Licensing Agreement"
844507;"09/18/2018";"09/18/2019";"Probation"
844507;"11/21/2018";"12/05/2018";"Civil Penalty"
406656;"11/12/2009";"04/12/2010";"-Licensing Agreement"
633274;"05/17/2018";"11/17/2018";"Nondisciplinary Corrective Action"
633274;"03/24/2017";"09/24/2017";"-Licensing Agreement"
406893;"09/18/2014";"03/18/2015";"Nondisciplinary Corrective Action"
406892;"09/11/2014";"10/11/2014";"Civil Penalty"
406890;"08/14/2004";"08/27/2004";"Suspension"
406890;"08/14/2004";"08/26/2004";"Civil Penalty"
656864;"11/21/2014";"11/21/2015";"Limitation-Disciplinary"
656864;"09/24/2013";"09/24/2014";"Probation"
656864;"05/01/2013";"09/23/2013";"-Licensing Agreement"
850484;"09/05/2018";"03/05/2019";"Nondisciplinary Corrective Action"
739401;"02/05/2016";"08/05/2016";"-Licensing Agreement"
739401;"07/29/2015";"07/29/2016";"Probation"
739401;"07/31/2015";"08/31/2015";"Civil Penalty"
739401;"08/31/2014";"02/08/2015";"Nondisciplinary Corrective Action"
706819;"07/07/2015";"07/07/2016";"Probation"
406833;"02/06/2017";"08/06/2017";"Nondisciplinary Corrective Action"
685832;"11/08/2017";"11/08/2018";"Probation"
406822;"04/22/2008";"08/26/2008";"-Licensing Agreement"
406834;"12/05/2018";"12/05/2019";"Probation"
406834;"12/02/2015";"06/02/2017";"Nondisciplinary Corrective Action"
406834;"03/13/2014";"03/13/2015";"Probation"
406834;"03/13/2014";"04/12/2014";"Civil Penalty"
406557;"03/22/2017";"09/22/2017";"Nondisciplinary Corrective Action"
406557;"09/12/2013";"09/12/2014";"Probation"
406557;"09/12/2013";"10/12/2013";"Civil Penalty"
406557;"10/18/2011";"04/18/2012";"Nondisciplinary Corrective Action"
412494;"11/19/2016";"11/19/2017";"Probation"
412494;"08/31/2016";"11/19/2016";"Nondisciplinary Corrective Action"
412494;"09/24/2014";"10/19/2014";"Civil Penalty"
406816;"05/20/2015";"11/20/2015";"Nondisciplinary Corrective Action"
406814;"10/07/2015";"04/07/2016";"-Licensing Agreement"
412408;"04/25/2006";"10/25/2006";"Nondisciplinary Corrective Action"
412409;"08/15/2017";"11/15/2017";"-Licensing Agreement"
412409;"08/26/2005";"02/26/2006";"Nondisciplinary Corrective Action"
556613;"10/07/2016";"10/07/2017";"Probation"
556613;"01/31/2008";"03/17/2008";"Probation"
407048;"01/21/2015";"07/21/2015";"Nondisciplinary Corrective Action"
407048;"06/29/2006";"12/29/2006";"-Licensing Agreement"
406823;"11/20/2013";"11/20/2014";"Probation"
406823;"11/05/2013";"12/05/2013";"Civil Penalty"
406823;"04/05/2011";"04/05/2012";"Probation"
406823;"12/15/2010";"04/05/2011";"-Licensing Agreement"
406823;"12/06/2010";"12/15/2010";"-Licensing Agreement"
406823;"04/14/2010";"10/14/2010";"-Licensing Agreement"
406823;"02/04/2008";"02/04/2009";"Probation"
485435;"02/02/2009";"08/02/2009";"Nondisciplinary Corrective Action"
406858;"04/24/2006";"10/24/2006";"Nondisciplinary Corrective Action"
407266;"07/25/2017";"10/25/2017";"-Licensing Agreement"
765815;"02/13/2017";"08/13/2017";"-Licensing Agreement"
683225;"10/27/2016";"01/19/2017";"-Licensing Agreement"
683225;"10/19/2013";"07/19/2014";"Probation"
683225;"10/19/2013";"11/18/2013";"Civil Penalty"
406856;"08/19/2005";"02/19/2006";"-Licensing Agreement"
861690;"11/19/2018";"12/10/2018";"-Licensing Agreement"
406842;"05/17/2005";"09/04/2007";"-Licensing Agreement"
406842;"05/10/2005";"11/10/2005";"Nondisciplinary Corrective Action"
755832;"09/14/2018";"09/14/2019";"Probation"
755832;"09/14/2018";"10/13/2018";"Civil Penalty"
755832;"03/19/2018";"09/14/2018";"Nondisciplinary Corrective Action"
795670;"10/19/2016";"04/19/2017";"Nondisciplinary Corrective Action"
488738;"07/30/2014";"01/30/2015";"Nondisciplinary Corrective Action"
488738;"05/03/2007";"11/03/2007";"Nondisciplinary Corrective Action"
406707;"10/01/2018";"04/01/2019";"Nondisciplinary Corrective Action"
407016;"04/30/2018";"10/30/2018";"Nondisciplinary Corrective Action"
407016;"08/15/2017";"02/15/2018";"-Licensing Agreement"
406969;"01/10/2018";"07/10/2018";"Nondisciplinary Corrective Action"
785586;"12/12/2018";"06/12/2019";"-Licensing Agreement"
782457;"07/21/2017";"01/21/2018";"-Licensing Agreement"
406825;"10/24/2016";"06/05/2017";"-Licensing Agreement"
751367;"02/15/2019";"08/15/2019";"-Licensing Agreement"
751367;"01/10/2018";"07/10/2018";"Nondisciplinary Corrective Action"
406934;"12/16/2005";"06/16/2006";"Nondisciplinary Corrective Action"
697455;"08/31/2016";"02/28/2017";"Nondisciplinary Corrective Action"
755275;"08/31/2018";"02/28/2019";"Nondisciplinary Corrective Action"
755275;"02/26/2015";"08/26/2015";"Nondisciplinary Corrective Action"
406927;"11/03/2008";"05/03/2009";"Nondisciplinary Corrective Action"
598050;"08/15/2011";"02/15/2012";"Nondisciplinary Corrective Action"
406913;"12/06/2018";"12/06/2019";"Probation"
406913;"04/16/2015";"10/16/2015";"Probation"
406913;"06/13/2014";"12/13/2014";"Nondisciplinary Corrective Action"
569325;"01/20/2016";"02/05/2016";"Civil Penalty"
842758;"10/11/2018";"10/11/2019";"Probation"
436445;"07/25/2017";"07/25/2018";"Probation"
436445;"04/18/2018";"05/18/2018";"Civil Penalty"
436445;"09/13/2016";"02/28/2017";"-Licensing Agreement"
436445;"04/07/2016";"05/07/2016";"Civil Penalty"
506386;"05/05/2017";"11/05/2017";"Nondisciplinary Corrective Action"
506386;"12/19/2008";"06/19/2009";"Nondisciplinary Corrective Action"
406989;"03/13/2018";"09/13/2018";"Nondisciplinary Corrective Action"
406989;"10/22/2014";"04/22/2015";"Nondisciplinary Corrective Action"
407010;"05/17/2017";"11/17/2017";"Nondisciplinary Assurance of Compliance"
407010;"04/20/2012";"10/20/2012";"Nondisciplinary Corrective Action"
407010;"01/29/2007";"01/29/2008";"Probation"
406953;"05/17/2017";"11/17/2017";"Nondisciplinary Corrective Action"
696873;"07/18/2017";"01/18/2018";"-Licensing Agreement"
406943;"12/14/2018";"06/14/2019";"-Licensing Agreement"
406943;"05/20/2014";"11/20/2014";"Nondisciplinary Corrective Action"
406943;"09/24/2013";"10/23/2013";"Civil Penalty"
406942;"09/18/2017";"03/18/2018";"Nondisciplinary Corrective Action"
406942;"08/24/2009";"02/24/2010";"Nondisciplinary Corrective Action"
788525;"10/02/2018";"04/02/2019";"Nondisciplinary Corrective Action"
788525;"12/31/2015";"11/10/2016";"Probation"
788525;"07/19/2016";"08/19/2016";"Civil Penalty"
415137;"01/07/2015";"02/07/2015";"Civil Penalty"
415137;"01/07/2015";"02/07/2015";"Civil Penalty"
415137;"06/19/2013";"06/19/2014";"Probation"
415137;"06/19/2013";"07/19/2013";"Civil Penalty"
415137;"01/25/2006";"05/25/2006";"Nondisciplinary Corrective Action"
