"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
3079;630;"Compliance Review";"10-03-2016";"10/04/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2016-10-04"
3074;630;"Compliance Review";"11-05-2019";"11/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2019-11-06"
3077;630;"Compliance Review";"10-14-2018";"10/15/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2018-10-15"
3076;630;"Compliance Review";"02-07-2019";"02/08/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2019-02-08"
3075;630;"Compliance Review";"10-03-2019";"10/04/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=701248&provider_action_date_of_visit=2019-10-04"
3122;640;"Compliance Review";"11-17-2015";"11/18/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=706857&provider_action_date_of_visit=2015-11-18"
3120;640;"Compliance Review";"10-16-2018";"10/17/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=706857&provider_action_date_of_visit=2018-10-17"
3121;640;"Compliance Review";"11-15-2017";"11/16/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=706857&provider_action_date_of_visit=2017-11-16"
3119;640;"Compliance Review";"11-13-2019";"11/14/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=706857&provider_action_date_of_visit=2019-11-14"
3163;650;"Compliance Review";"07-10-2016";"07/11/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=742950&provider_action_date_of_visit=2016-07-11"
3160;650;"Compliance Review";"07-14-2019";"07/15/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=742950&provider_action_date_of_visit=2019-07-15"
3161;650;"Compliance Review";"07-08-2018";"07/09/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=742950&provider_action_date_of_visit=2018-07-09"
3162;650;"Compliance Review";"07-10-2017";"07/11/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=742950&provider_action_date_of_visit=2017-07-11"
3234;663;"Compliance Review";"06-27-2018";"06/28/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2018-06-28"
3238;663;"Compliance Review";"12-06-2016";"12/07/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2016-12-07"
3235;663;"Compliance Review";"06-03-2018";"06/04/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2018-06-04"
3239;663;"Compliance Review";"08-28-2016";"08/29/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2016-08-29"
3240;663;"Compliance Review";"07-27-2016";"07/28/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2016-07-28"
3231;663;"Compliance Review";"08-01-2019";"08/02/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2019-08-02"
3230;663;"Compliance Review";"08-20-2019";"08/21/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2019-08-21"
3237;663;"Compliance Review";"06-11-2017";"06/12/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2017-06-12"
3232;663;"Compliance Review";"05-28-2019";"05/29/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2019-05-29"
3233;663;"Compliance Review";"04-11-2019";"04/12/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2019-04-12"
3241;663;"Compliance Review";"04-25-2016";"04/26/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2016-04-26"
3236;663;"Compliance Review";"04-09-2018";"04/10/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=753795&provider_action_date_of_visit=2018-04-10"
3250;665;"Compliance Review";"11-13-2017";"11/14/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=756254&provider_action_date_of_visit=2017-11-14"
3251;665;"Compliance Review";"11-22-2015";"11/23/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=756254&provider_action_date_of_visit=2015-11-23"
3248;665;"Compliance Review";"11-06-2019";"11/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=756254&provider_action_date_of_visit=2019-11-07"
