"provider_id";"date";"type";"roi_url"
"0011J000017pClSQAU";" 6/17/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UhGG/JGZM8uj6t_C1YYoM18NiZedvY1ql2EKgEfPvoVsmXgY"
"0011J000017pClSQAU";" 5/20/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MpCs/3.u_RzzA_u.M.pniLAAQSDGvLsLmm268OSSuoGiCDaw"
"0011J000017pClSQAU";" 6/19/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MRCO/B.Gxy7tVTyzF5COR1waCq1Pf_eBQNBPhHh7aF.b6Utk"
"0011J00001A5fkWQAR";" 3/12/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Adxj/QmhpArnoBfoSRssk_q2PI0bvyr3jF5e0.jlVDU3Kd40"
"0011J00001A5fkWQAR";" 3/18/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MkmC/kRUlm4yzRbYH848dZ4oRdONhDheJFG2iGRYD3xq1TtE"
"0011J00001A5fkWQAR";" 5/22/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MOjt/C0S_aIxjMbY2k6l3X.ew61YrBBXOAyd4GySgtHHdyuw"
"0011J00001A5fkaQAB";" 5/16/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J0000001AiS/kh0viNmd1lmg0nEQsVRAqqepAbXNWbal1WEWpCYhDa8"
"0011J00001A5fkaQAB";" 5/14/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MpEF/CfhfsN5sYscC8JLIYOO1n1qU.agDHJCwzFz_cseXptk"
"0011J00001A5fkeQAB";" 1/2/2020";"Original Change of Location/Type";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000AZO2/wxQh6R2.VtCg0TqMzOq2sOfh.K2_a5bcbXbn3A9fK_U"
"0011J00001A5fkeQAB";" 12/11/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000AYkW/v1BfzZJfaDW7TdIbmRl1grKfdoQJQAFJge4KAVepXMs"
"0011J00001A5fkeQAB";" 5/29/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mo0g/ZYsbbK0dA512Siwza7D9yU.HBGctkLnI5wpgUjfuHjM"
"0011J00001A5fkvQAB";" 8/31/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UlUR/ENhRtCdT4mgjc3TutC.a4nRFQ73siJkrgBLkM6eEItQ"
"0011J00001A5fkvQAB";" 4/18/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mmcx/dWmmVmoA7Xp4iojmxW6u1IHt5La7IrYrFaPWF0sBIiQ"
