"ProviderId";"ProviderName";"LocationAddressLine1";"LocationCity";"LocationCountyDescription";"LocationStateDescription";"LocationZipCode5";"PhoneNumber";"ProviderType";"ProviderStatus";"Capacity";"IsSubsidyAccepted";"HoursOfOperationMonday";"HoursOfOperationTuesday";"HoursOfOperationWednesday";"HoursOfOperationThursday";"HoursOfOperationFriday";"HoursOfOperationSaturday";"HoursOfOperationSunday";"NumberOfStars";"IsFoodPermitAvailable";"Infant";"Toddler";"PreSchool";"SchoolAge";"IsAcceditationsAvailable";"Transportation";"IsOngoingProcess";"PartTimeCostInfant1";"FullTimeCostInfant1";"PartTimeCostToddler1";"FullTimeCostToddler1";"PartTimeCostToddler2";"FullTimeCostToddler2";"PartTimeCostPreschool1";"FullTimeCostPreschool1";"PartTimeCostPreschool2";"FullTimeCostPreschool2";"PartTimeCostPreschool3";"FullTimeCostPreschool3";"PartTimeCostSchoolAge1";"FullTimeCostSchoolAge1";"PartTimeCostSchoolAge2";"FullTimeCostSchoolAge2";"NonTraditional";"MailingAddress";"LocationAddress";"IsServingSpecialNeeds";"IsActiveCCAPChildren";"ExpiryDate";"AgeRangeSupported";"ProviderCLRNumber";"LocationAddressLine2"
70023;"Lutheran School of Lexington (The)";"425 Patchen Dr";"Lexington";"FAYETTE";"KY";40517;8592687787;"Licensed";"APPROVED";50;"Y";"8:30 AM - 2:00 PM";"8:30 AM - 2:00 PM";"8:30 AM - 2:00 PM";"8:30 AM - 2:00 PM";"8:30 AM - 2:00 PM";"No Information Available";"No Information Available";4;"N";"N";"N";"Y";"N";;"N";"N";;;;;;;14.54;34.54;14.54;34.54;14.54;34.54;;;;;"No Information Available";"425 Patchen Dr, Lexington, KY, 40517";"425 Patchen Dr, Lexington, KY, 40517";"Y";"N";"8/31/2023";"Two_To_School";"L358771";
62579;"Michelle Curtis";"3384 Carriage Lane";"Lexington";"FAYETTE";"KY";40517;8592734329;"Certified";"APPROVED";6;"Y";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"No Information Available";"No Information Available";1;;"N";"N";"N";"N";;"N";"N";45;44;45;40;45;40;45;40;;;;;;;;;"No Information Available";"3384 Carriage Lane, Lexington, KY, 40517";"3384 Carriage Lane, Lexington, KY, 40517";"No Information Available";"N";"1/31/2023";"No Information Available";"C6686";
802;"St. Michael's School";"2025 Bellefonte Drive";"Lexington";"FAYETTE";"KY";40503;8592777541;"Licensed";"APPROVED";90;"Y";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"Y";"N";"N";"N";"N";;;;;;;21;45;21;45;21;45;;;;;"N";"2025 Bellefonte Drive, Lexington, KY, 40503";"2025 Bellefonte Drive, Lexington, KY, 40503";"No Information Available";"N";"2/28/2023";"Two_To_School";"L354624";
564;"Porter Memorial Baptist Preschool";"4300 Nicholasville Road";"Lexington";"FAYETTE";"KY";40515;8592723441;"Licensed";"APPROVED";145;"N";"9:00 AM - 2:00 PM";"9:00 AM - 2:00 PM";"9:00 AM - 2:00 PM";"9:00 AM - 2:00 PM";"9:00 AM - 2:00 PM";"No Information Available";"No Information Available";1;"N";"N";"Y";"Y";"N";;"N";"N";;;;;;;;;;;;;;;;;"No Information Available";"4300 Nicholasville Road, Lexington, KY, 40515";"4300 Nicholasville Road, Lexington, KY, 40515";"No Information Available";"N";"12/31/2023";"Toddler To Two_To_School";"L354055";
116759;"Garden Springs Elementary After School Program";"2151 Garden Springs Drive";"Lexington";"FAYETTE";"KY";40504;8593813388;"Licensed";"APPROVED";150;"Y";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"N";"Y";;"N";"N";;;;;;;;;11;;11;;11;;11;;"No Information Available";"2151 Garden Springs Drive, Lexington, KY, 40504";"2151 Garden Springs Drive, Lexington, KY, 40504";"Y";"Y";"2/28/2023";"School_Age";"L383257";
203060;"Megaminds Educare 2";"3130 Custer";"Lexington";"FAYETTE";"KY";40517;8595431185;"Licensed";"APPROVED";100;"Y";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"No Information Available";"No Information Available";1;"Y";"Y";"Y";"Y";"Y";;"Y";"N";42;48;42;48;42;48;34;41;34;41;32;38;32;38;32;38;"No Information Available";"3130 Custer, Lexington, KY, 40517";"3130 Custer, Lexington, KY, 40517";"No Information Available";"Y";"5/31/2023";"Infant To School Age";"L384335";
1552;"Southland Kids Kare";"2094 Harrodsburg Road";"Lexington";"FAYETTE";"KY";40503;8592781899;"Licensed";"APPROVED";94;"Y";"8:00 AM - 5:00 PM";"8:00 AM - 5:00 PM";"8:00 AM - 5:00 PM";"8:00 AM - 5:00 PM";"8:00 AM - 5:00 PM";"No Information Available";"No Information Available";2;"N";"Y";"Y";"Y";"Y";"N";"Y";"N";;45;;40;;35;;35;;35;;35;20;35;20;35;"N";"2017 Williamsburg Rd, Lexington, KY, 40504";"2094 Harrodsburg Road, Lexington, KY, 40503";"No Information Available";"Y";"6/30/2023";"Infant To School Age";"L356134";
147721;"Journey Preschool";"320 Hope Lane";"Versailles";"WOODFORD";"KY";40383;8598730288;"Licensed";"APPROVED";48;;"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"7:30 AM - 5:30 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"Y";"N";;"N";"N";;;;;;;;;;;;;;;;;"No Information Available";"320 Hope Lane, Versailles, KY, 40383";"320 Hope Lane, Versailles, KY, 40383";"No Information Available";"N";"8/31/2023";"Two_To_School";"L383372";
105852;"Smart Beez Learning Center";"2033 Garden Spring";"Lexington";"FAYETTE";"KY";40504;8592762339;"Licensed";"APPROVED";47;"Y";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";1;"Y";"Y";"Y";"Y";"Y";;"N";"N";44;48;44;48;43;47;35;42;35;42;35;42;32;38;32;38;"No Information Available";"2033 Garden Spring, Lexington, KY, 40504";"2033 Garden Spring, Lexington, KY, 40504";"N";"Y";"3/31/2023";"Infant To School Age";"L383125";
1579;"Extended School Program at Stonewall Elementary";"3215 Cornwall Drive";"Lexington";"FAYETTE";"KY";40508;8592248045;"Licensed";"APPROVED";234;"Y";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"N";"Y";"N";"Y";"N";;;;;;;;;;;12;30;12;30;12;30;"N";"545 N. Upper St, Lexington, KY, 40508";"3215 Cornwall Drive, Lexington, KY, 40508";"Y";"Y";"8/31/2023";"School_Age";"L356179";
1666;"Mary Queen of the Holy Rosary Preschool";"605 Hill-n-dale Drive";"Lexington";"FAYETTE";"KY";40503;8592773030;"Licensed";"APPROVED";150;"Y";"7:30 AM - 3:00 PM";"7:30 AM - 3:00 PM";"7:30 AM - 3:00 PM";"7:30 AM - 3:00 PM";"7:30 AM - 3:00 PM";"No Information Available";"No Information Available";5;"Y";"N";"Y";"Y";"N";"N";"N";"N";;;24.09;43.92;24.09;43.92;24.09;43.92;24.09;43.92;24.09;43.92;;;;;"No Information Available";"605 Hill-n-dale Drive, Lexington, KY, 40503";"605 Hill-n-dale Drive, Lexington, KY, 40503";"Y";"Y";"11/30/2023";"Toddler To Two_To_School";"L356285";
191721;"Heather Bailey";"2001 Ashgrove Road";"Nicholasville";"JESSAMINE";"KY";40356;8592306208;"Certified";"APPROVED";6;"Y";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"No Information Available";"No Information Available";"No Information Available";1;;"N";"N";"N";"N";;"N";"N";45;45;40;40;35;35;32.5;32.5;30;30;30;30;25;25;;;"No Information Available";"2001 Ashgrove Road, Nicholasville, KY, 40356";"2001 Ashgrove Road, Nicholasville, KY, 40356";"No Information Available";"N";"12/31/2022";"No Information Available";"C71042";
180766;"Redwood Cooperative School";"166 Crestwood Drive";"Lexington";"FAYETTE";"KY";40503;8592734496;"Licensed";"APPROVED";40;;"7:30 AM - 5:45 PM";"7:30 AM - 5:45 PM";"7:30 AM - 5:45 PM";"7:30 AM - 5:45 PM";"7:30 AM - 5:45 PM";"No Information Available";"No Information Available";1;"N";"N";"N";"Y";"Y";;"N";"N";;;;;;;;;;;;;;;;;"No Information Available";"166 Crestwood Drive, Lexington, KY, 40503";"166 Crestwood Drive, Lexington, KY, 40503";"No Information Available";"N";"2/28/2023";"Two_To_School To School_Age";"L383709";
763;"Southern Hills Early Childhood Program";"2356 Harrodsburg Road";"Lexington";"FAYETTE";"KY";40503;8592771520;"Licensed";"APPROVED";304;"Y";"6:45 AM - 6:00 PM";"6:45 AM - 6:00 PM";"6:45 AM - 6:00 PM";"6:45 AM - 6:00 PM";"6:45 AM - 6:00 PM";"No Information Available";"No Information Available";3;"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";;42;;42;;39;;39;;39;;35;;35;;35;"N";"2356 Harrodsburg Road, Lexington, KY, 40503";"2356 Harrodsburg Road, Lexington, KY, 40503";"Y";"Y";"9/30/2023";"Infant To School Age";"L354537";
179429;"Clays Mill Elementary After School Child Care Program";"2319 Clays Mill Road";"Lexington";"FAYETTE";"KY";40503;8593813355;"Licensed";"APPROVED";200;"Y";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"2:35 PM - 6:00 PM";"No Information Available";"No Information Available";1;"Y";"N";"N";"N";"Y";;"N";"N";;;;;;;;;;;;;11;;11;;"No Information Available";"2319 Clays Mill Road, Lexington, KY, 40503";"2319 Clays Mill Road, Lexington, KY, 40503";"Y";"Y";"1/31/2023";"School_Age";"L383532";
202833;"Little Steps Childcare";"153 Burt Road";"Lexington";"FAYETTE";"KY";40503;8592773767;"Licensed";"APPROVED";36;"Y";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"No Information Available";"No Information Available";1;"N";"N";"Y";"Y";"N";;"N";"N";;;46;50;46;50;46;50;46;50;;;;;;;"No Information Available";"153 Burt Road, Lexington, KY, 40503";"153 Burt Road, Lexington, KY, 40503";"No Information Available";"Y";"5/31/2023";"Toddler To Two_To_School";"L384246";
