"FacilityID";"TypeofRegulation";"Date";"Details";"Results"
"2000573192_1";" Licensing ";" 08/20/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000573192&LocationNumber=1&DocumentNumber=5001849469"
"2000573192_1";" Licensing ";" 03/08/2019 ";" No violations found ***";
"2000573192_1";" Licensing ";" 02/14/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000573192&LocationNumber=1&DocumentNumber=5001502431"
"566370_1";" Licensing ";" 01/22/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=566370&LocationNumber=1&DocumentNumber=5002767233"
"566370_1";" Licensing ";" 05/07/2020 ";" See Violations below";
"566370_1";" Licensing ";" 08/20/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=566370&LocationNumber=1&DocumentNumber=5001849432"
"566370_1";" Licensing ";" 03/21/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=566370&LocationNumber=1&DocumentNumber=5001557707"
"2000588962_1";" Certification ";" 06/22/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000588962&LocationNumber=1&DocumentNumber=5003111260"
"2000588962_1";" Certification ";" 08/27/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000588962&LocationNumber=1&DocumentNumber=5001854807"
"570630_1";" Licensing ";" 06/08/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=570630&LocationNumber=1&DocumentNumber=5003007997"
"570630_1";" Licensing ";" 01/07/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=570630&LocationNumber=1&DocumentNumber=5002176175"
"570630_1";" Licensing ";" 06/12/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=570630&LocationNumber=1&DocumentNumber=5001695896"
"570630_1";" Certification ";" 09/19/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=570630&LocationNumber=1&DocumentNumber=5001245215"
"4000561604_2";" Licensing ";" 01/08/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000561604&LocationNumber=2&DocumentNumber=5002750872"
"4000561604_2";" Licensing ";" 08/05/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000561604&LocationNumber=2&DocumentNumber=5001844910"
"4000561604_2";" Licensing ";" 02/15/2019 ";" No violations found ***";
"4000587924_1";" Certification ";" 08/31/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000587924&LocationNumber=1&DocumentNumber=5003138078"
"4000587924_1";" Certification ";" 08/10/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000587924&LocationNumber=1&DocumentNumber=5003111218"
"4000587924_1";" Certification ";" 08/07/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000587924&LocationNumber=1&DocumentNumber=5001816778"
"6000583816_1";" Certification ";" 05/18/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000583816&LocationNumber=1&DocumentNumber=5002961305"
"6000583816_1";" Certification ";" 05/14/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000583816&LocationNumber=1&DocumentNumber=5001638879"
"5000574345_1";" Certification ";" 04/06/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=5000574345&LocationNumber=1&DocumentNumber=5002896209"
"5000574345_1";" Certification ";" 01/14/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=5000574345&LocationNumber=1&DocumentNumber=5002185284"
"5000574345_1";" Certification ";" 01/08/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=5000574345&LocationNumber=1&DocumentNumber=5001420517"
"4000569984_1";" Certification ";" 10/16/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569984&LocationNumber=1&DocumentNumber=5001992318"
"4000569984_1";" Certification ";" 10/10/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000569984&LocationNumber=1&DocumentNumber=5001285743"
"9000583079_1";" Certification ";" 07/27/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000583079&LocationNumber=1&DocumentNumber=5003104976"
"9000583079_1";" Certification ";" 08/06/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000583079&LocationNumber=1&DocumentNumber=5001814997"
"2000568082_1";" Licensing ";" 02/02/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000568082&LocationNumber=1&DocumentNumber=5002792770"
"2000568082_1";" Licensing ";" 09/09/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000568082&LocationNumber=1&DocumentNumber=5001887162"
"2000568082_1";" Licensing ";" 02/14/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=2000568082&LocationNumber=1&DocumentNumber=5001513323"
"9000590149_1";" Licensing ";" 01/25/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000590149&LocationNumber=1&DocumentNumber=5002772579"
"9000590149_1";" Licensing ";" 11/03/2020 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000590149&LocationNumber=1&DocumentNumber=5002674089"
"9000590149_1";" Licensing ";" 11/02/2020 ";" No violations found ***";
"9000590149_1";" Licensing ";" 08/31/2020 ";" No violations found ***";
"9000590149_1";" Licensing ";" 08/17/2020 ";" No violations found ***";
"8000576198_1";" Certification ";" 12/10/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576198&LocationNumber=1&DocumentNumber=5003112529"
"8000576198_1";" Certification ";" 12/11/2018 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=8000576198&LocationNumber=1&DocumentNumber=5001377281"
"4000590594_1";" Licensing ";" 08/17/2021 ";" No violations found ***";
"9000577839_5";" Licensing ";" 08/24/2021 ";" No violations found ***";
"9000577839_5";" Licensing ";" 06/16/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5003054382"
"9000577839_5";" Licensing ";" 06/01/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5003010063"
"9000577839_5";" Licensing ";" 12/10/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5002701098"
"9000577839_5";" Licensing ";" 11/07/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5002063207"
"9000577839_5";" Licensing ";" 09/24/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5001941632"
"9000577839_5";" Licensing ";" 09/09/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5001902536"
"9000577839_5";" Licensing ";" 04/01/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5001575630"
"9000577839_5";" Licensing ";" 10/15/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000577839&LocationNumber=5&DocumentNumber=5001291325"
"7000560867_1";" Licensing ";" 06/01/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=7000560867&LocationNumber=1&DocumentNumber=5003108574"
"7000560867_1";" Licensing ";" 06/29/2020 ";" No violations found ***";
"7000560867_1";" Licensing ";" 02/05/2020 ";" See Violations below";
